tipo_incidencia,comentario
"Incendio","Un incendio ha comenzado en el bosque debido a una fogata mal apagada. Se necesita intervención urgente para evitar su expansión."
"Tramo colapsado/cerrado/mal señalizado","Un árbol caído bloquea la carretera, impidiendo el paso. Es necesario buscar una ruta alternativa."
"Accidente en el camino","Un caballo está corriendo libremente por el carril bici, lo que está causando problemas a los ciclistas. Se requiere intervención para controlar la situación."
"Tramo colapsado/cerrado/mal señalizado","Una piedra grande cayó de la montaña y bloqueó la carretera. Se deben buscar alternativas para continuar el viaje."
"Accidente en el camino","Un perro grande se escapó y está causando alarma. Es importante no acercarse hasta que se controle la situación."
"Incendio","Un incendio comenzó debido a una fogata mal apagada. Se necesita atención urgente para evitar que se propague."
"Tramo colapsado/cerrado/mal señalizado","Un puente colapsó debido a las lluvias. El tráfico está completamente detenido en esa zona."
"Tramo colapsado/cerrado/mal señalizado","Un alud de tierra ha cubierto una parte de la carretera, dejándola inaccesible. Se necesita realizar trabajos de limpieza."
"Tramo colapsado/cerrado/mal señalizado","Las lluvias han causado que el asfaltado de la carretera se levante, haciendo el camino difícil de transitar. Se debe conducir con precaución."
"Problemas mobiliario","La fuente del jardín está vacía, probablemente por falta de mantenimiento o problemas en el suministro de agua."
"Problemas mobiliario","La fuente del barrio no tiene agua. Está completamente seca y no es funcional en este momento."
"Problemas mobiliario","La fuente del centro comercial está sin agua. Los visitantes están tomando fotos, pero no se puede disfrutar del agua fresca."
"Problemas mobiliario","La fuente de la plaza principal está vacía. Se espera que se reponga el agua, pero aún no se ha realizado."
"Problemas mobiliario","El estanque de la fuente está completamente seco. No hay agua disponible en la fuente en este momento."
"Problemas mobiliario","El banco del parque está en mal estado y no es seguro para sentarse. Necesita reparación urgente."
"Problemas mobiliario","La papelera de la esquina está rota y no es útil. Se necesita una nueva instalación o reparación."
"Problemas mobiliario","La farola del barrio lleva varias semanas sin funcionar. Es necesario que se repare para restaurar la iluminación."
"Problemas mobiliario","El banco en la plaza está muy deteriorado y es peligroso para los niños que juegan cerca. Necesita una renovación."
"Crecida de río","El nivel del río ha aumentado considerablemente y ahora cubre una gran área. Se recomienda precaución en las zonas cercanas."
"Crecida de río","El río ha subido tanto que el paseo fluvial está resbaladizo. Se debe tener cuidado al transitar por esa zona."
"Crecida de río","El nivel del río continúa subiendo, afectando las orillas. Los residentes están tomando precauciones por posibles inundaciones."
"Crecida de río","El río ha inundado varias casas cercanas. Es una situación de emergencia que requiere atención inmediata."
"Crecida de río","El río ha desbordado en varias áreas, arrastrando objetos a su paso. La situación está fuera de control y se requiere acción urgente."
"Tramo colapsado/cerrado/mal señalizado","La señalización en la ruta era confusa, lo que me llevó a entrar en una casa equivocada. Perdí mucho tiempo buscando la salida."
"Tramo colapsado/cerrado/mal señalizado","Seguí una señal que me llevó por una calle incorrecta, y ahora estoy en un vecindario sin salida."
"Tramo colapsado/cerrado/mal señalizado","La señalización en el área es confusa, lo que me hizo dar vueltas repetidas por el vecindario sin poder encontrar la salida correcta."
"Tramo colapsado/cerrado/mal señalizado","La señal que indicaba un túnel cerrado me hizo dar una vuelta innecesaria. La señalización debería ser más clara."
"Tramo colapsado/cerrado/mal señalizado","Una señal me dirigió hacia un callejón sin salida. Ahora estoy buscando la forma de regresar al camino principal."
"Accidente en el camino","Un burro se escapó y bloqueó la carretera. Los vehículos no pueden pasar hasta que se controle la situación."
"Accidente en el camino","Un perro pequeño corre por la calle. Se debe tener precaución ya que parece estar en un estado inquieto."
"Accidente en el camino","Un gato subió a un árbol y no puede bajar. Los bomberos ya están en camino para ayudar."
"Accidente en el camino","Un rebaño de cabras está cruzando la carretera. Se debe proceder con calma, ya que no tienen prisa."
"Accidente en el camino","Un gallo subió al techo de un autobús y está cantando allí. Los pasajeros parecen sorprendidos por la situación."
"Incendio","El incendio en la montaña está generando una gran cantidad de humo, lo que dificulta la visibilidad. Los bomberos están trabajando para controlar la situación."
"Incendio","Un campo de hierba se incendió debido a una chispa, y el fuego ya se ha propagado hacia el bosque. Se está trabajando para controlarlo."
"Incendio","La quema ilegal de basuras ha provocado un incendio forestal. Los equipos de emergencia están siendo desplegados para sofocar el fuego."
"Incendio","Una fogata cerca de la playa se salió de control debido al viento, y las llamas se están acercando al bosque. Los bomberos están interviniendo."
"Incendio","El incendio en el sector norte está fuera de control, lo que ha llevado a la activación de la alerta roja y evacuaciones en la zona afectada."
"Accidente en el camino","Un coche volcó en la curva, pero no hubo heridos. El tráfico está completamente detenido mientras se realizan las labores de limpieza."
"Accidente en el camino","Una furgoneta derrapó y chocó contra el muro de seguridad. Los equipos de rescate ya están en camino para atender a los afectados."
"Accidente en el camino","Un autobús sufrió una avería en medio de la carretera, lo que está provocando un gran embotellamiento en la vía."
"Accidente en el camino","Un camión de carga perdió parte de su carga de cemento en la carretera, bloqueando el paso. Se necesita despejar la vía urgentemente."
"Accidente en el camino","Un coche se detuvo debido a un neumático pinchado, lo que está provocando un atasco en la carretera. Los vehículos deben reducir la velocidad."
"Tramo colapsado/cerrado/mal señalizado","Un deslizamiento de tierra bloqueó por completo el paso hacia la montaña. Se recomienda tomar rutas alternativas para evitar el área."
"Tramo colapsado/cerrado/mal señalizado","Una gran roca cayó sobre la carretera, bloqueando el paso y dejando a los conductores atrapados. Se están realizando trabajos para despejar la zona."
"Tramo colapsado/cerrado/mal señalizado","Una avalancha de tierra descendió por la ladera, cubriendo la carretera y obligando a los conductores a tomar un desvío."
"Tramo colapsado/cerrado/mal señalizado","El deslizamiento de tierra cubrió todo el carril izquierdo, reduciendo el paso de vehículos a un solo carril. Se debe tener precaución."
"Tramo colapsado/cerrado/mal señalizado","Un deslizamiento de rocas está dificultando el tránsito por la carretera. Los conductores deben extremar la precaución al circular por esa zona."
"Problemas mobiliario","La farola del paso peatonal está rota y no proporciona iluminación. Esto está generando condiciones peligrosas en la zona durante la noche."
"Problemas mobiliario","La papelera del parque está rota y desbordada de basura. Se solicita con urgencia su limpieza y reparación."
"Problemas mobiliario","El banco de la plaza se ha partido, lo que representa un riesgo para quienes se sienten. Es necesario repararlo o retirarlo."
"Problemas mobiliario","El cartel informativo en la entrada del parque está ilegible debido al desgaste. Necesita ser renovado para que los visitantes puedan leer la información."
"Problemas mobiliario","La fuente de la ciudad está dañada y ha perdido una de sus figuras ornamentales. Actualmente no está en funcionamiento."
"Tramo colapsado/cerrado/mal señalizado","Una parte de la carretera se desplomó después de la tormenta, lo que impide el paso de los vehículos."
"Tramo colapsado/cerrado/mal señalizado","El puente que conecta con el centro está cerrado debido a daños estructurales. Los conductores deben buscar rutas alternativas."
"Tramo colapsado/cerrado/mal señalizado","La vía principal se cerró debido a un derrumbe masivo de tierra. El paso está completamente bloqueado y no se sabe cuánto tiempo tomará la reparación."
"Tramo colapsado/cerrado/mal señalizado","La carretera está cerrada debido a la caída de un árbol grande que bloquea completamente el paso. Se necesita realizar trabajos de despeje."
"Tramo colapsado/cerrado/mal señalizado","Una sección de la carretera colapsó debido a las lluvias, lo que ha generado un gran embotellamiento y retrasos en el tráfico."
"Problemas mobiliario","La fuente de la plaza lleva varios días vacía. Los turistas se han quejado por la falta de agua en la zona."
"Problemas mobiliario","La fuente del centro cultural está completamente seca. Aún no se sabe cuándo se llevará a cabo su reparación."
"Problemas mobiliario","El estanque de la fuente del parque se secó por las altas temperaturas. Actualmente parece más una piscina vacía que una fuente."
"Problemas mobiliario","La fuente en la entrada de la ciudad lleva semanas sin agua. Los residentes esperan que se resuelva pronto."
"Problemas mobiliario","La fuente del boulevard no tiene agua y se ha convertido en un lugar de curiosidad para los transeúntes, pero no hay agua disponible."
"Tramo colapsado/cerrado/mal señalizado","La señal que indicaba el desvío hacia la autopista era tan pequeña que no la notaron los conductores. Ahora muchas personas están perdidas."
"Tramo colapsado/cerrado/mal señalizado","Me perdí debido a un giro equivocado. La señal que indicaba ‘giro a la derecha’ estaba oculta por un árbol."
"Tramo colapsado/cerrado/mal señalizado","Tomé la salida equivocada porque la señal estaba parcialmente bloqueada por hojas. Esto me hizo dar una vuelta innecesaria."
"Tramo colapsado/cerrado/mal señalizado","La señal de advertencia sobre curvas peligrosas está descolocada, lo que no permite a los conductores anticiparse adecuadamente."
"Tramo colapsado/cerrado/mal señalizado","Una señal de dirección incorrecta me hizo entrar en una calle cerrada. Ahora estoy atrapado y no sé cómo volver."
"Crecida de río","El nivel del río ha subido tanto que ya no se ven las orillas. Algunas casas cercanas están siendo evacuadas por precaución."
"Crecida de río","El agua del río sigue subiendo y ya está inundando varias calles cercanas. La situación es crítica en varias zonas."
"Crecida de río","La crecida del río ha bloqueado varios caminos, impidiendo el acceso a las zonas afectadas."
"Crecida de río","Las lluvias constantes han provocado que el río crezca, afectando ya a las comunidades cercanas."
"Crecida de río","El nivel del río continúa subiendo y está inundando áreas residenciales cercanas. La alerta de emergencia está activa."
"Crecida de río","El río ha experimentado una crecida inesperada debido a las lluvias intensas, lo que ha causado inundaciones en las zonas aledañas. Se recomienda evacuar las áreas afectadas."
"Crecida de río","La crecida del río ha generado un aumento del nivel de agua en las orillas, lo que está afectando los caminos cercanos. Las autoridades están monitoreando la situación."
"Crecida de río","El río ha superado su nivel normal, y las zonas bajas cerca de la costa están en peligro de inundarse. Se están tomando medidas preventivas para proteger la infraestructura."
"Crecida de río","Una crecida repentina del río ha bloqueado varios puentes y caminos en el área, interrumpiendo el tráfico y el acceso. Se recomienda buscar rutas alternativas."
"Crecida de río","El caudal del río ha aumentado de manera alarmante, provocando inundaciones en algunas áreas cercanas. Las autoridades están trabajando en la evacuación de las zonas más afectadas."
"Crecida de río","Tras la crecida del río, las aguas están alcanzando las áreas residenciales cercanas. Se están tomando medidas para controlar el flujo y evitar daños mayores."
"Crecida de río","El nivel del río ha subido considerablemente, afectando la circulación por los puentes cercanos. Se ha cerrado el paso como medida de seguridad hasta que baje el nivel."
"Crecida de río","El río ha alcanzado niveles peligrosos tras las lluvias, provocando el cierre de varias rutas importantes. Los equipos de rescate están en alerta para posibles evacuaciones."
"Tramo colapsado/cerrado/mal señalizado","La señalización de la ruta hacia el centro comercial está mal colocada, lo que ha causado confusión en los conductores. Se recomienda revisar y ajustar las señales."
"Tramo colapsado/cerrado/mal señalizado","Un tramo de la carretera que conecta con el parque natural tiene señales de tránsito dañadas. Esto ha provocado algunos desvíos erróneos de los conductores."
"Tramo colapsado/cerrado/mal señalizado","La señalización de la ruta hacia el hospital es insuficiente y poco clara, lo que está dificultando el acceso para los pacientes. Se requiere una mejora urgente en las señales."
"Tramo colapsado/cerrado/mal señalizado","En una de las intersecciones principales, las señales de tráfico están en mal estado, lo que ha provocado varios accidentes menores debido a la falta de claridad."
"Tramo colapsado/cerrado/mal señalizado","La señalización de las rutas turísticas en la ciudad está desactualizada y ha causado que los turistas se desorienten. Se recomienda la revisión y actualización de las señales."
"Tramo colapsado/cerrado/mal señalizado","Una señal de advertencia en la ruta hacia el aeropuerto está fuera de lugar y mal visible, lo que ha provocado que los conductores no tomen las precauciones necesarias."
"Tramo colapsado/cerrado/mal señalizado","El desvío temporal en la carretera debido a la construcción no está claramente indicado, lo que ha causado múltiples confusiones entre los conductores."
"Tramo colapsado/cerrado/mal señalizado","La ruta hacia el parque de aventuras está mal señalizada, y muchos conductores han llegado a destinos incorrectos debido a la confusión generada."
"Tramo colapsado/cerrado/mal señalizado","Algunas señales de tránsito en la carretera hacia la zona de esquí están opacas, lo que dificulta la visibilidad para los conductores, especialmente durante la noche."
"Accidente en el camino","Un perro grande se ha escapado de su dueño y corre por el parque, causando cierta alarma entre los visitantes. Se debe tener precaución."
"Accidente en el camino","Un grupo de caballos desbocados cruzó la carretera rápidamente. Se está intentando controlarlos antes de que provoquen un accidente."
"Accidente en el camino","Un ave enorme se posó en el centro de la carretera, obligando a los conductores a frenar bruscamente. Aún no ha volado."
"Accidente en el camino","Un pato se adentró en la estación de trenes y está causando retrasos debido a la búsqueda para capturarlo."
"Accidente en el camino","Un grupo de caballos fue visto paseando por el sendero que conecta dos pueblos. Se recomienda precaución para los ciclistas que circulan por esa zona."
"Accidente en el camino","Un perro callejero está ladrando cerca del cruce principal, y parece estar alterando el tráfico. Se necesita intervención para retirarlo."
"Accidente en el camino","Una vaca ha salido de una granja y está bloqueando el paso en una calle residencial. Las autoridades están trabajando para retirarla."
"Accidente en el camino","Una cabra se encuentra dentro de un supermercado. El personal está tratando de mantenerla tranquila hasta que llegue el dueño."
"Accidente en el camino","Un conejo saltó al camino mientras circulaba un vehículo. Afortunadamente no hubo accidentes, pero se recomienda estar alerta."
"Incendio","Un incendio forestal ha comenzado cerca de la zona de la montaña. Ya se están tomando medidas para controlarlo antes de que se propague más."
"Incendio","Una chispa provocó un incendio en el campo. Los bomberos están trabajando intensamente para evitar que se propague a las viviendas cercanas."
"Incendio","El incendio en la zona rural ha empeorado debido a los vientos fuertes. Se están realizando evacuaciones preventivas de las casas cercanas."
"Incendio","Las llamas en el bosque se han extendido rápidamente. El clima cálido está favoreciendo su propagación. Se necesita ayuda adicional."
"Incendio","El fuego en el parque está siendo contenido por los bomberos, pero aún se necesita más agua para sofocarlo por completo."
"Incendio","Un incendio en una fábrica local ha comenzado a generar mucho humo. Se está evacuando el área y se ha solicitado ayuda adicional."
"Incendio","Un incendio en un campo de hierba se descontroló debido a las altas temperaturas. Las autoridades ya están en el lugar trabajando para extinguirlo."
"Incendio","Un fuego causado por un cortocircuito en un edificio comercial está afectando la zona. Se ha cerrado el área hasta que se controle."
"Incendio","El fuego en la zona sur de la ciudad está generando problemas de visibilidad en las carreteras. Se está controlando, pero hay que tener precaución."
"Accidente en el camino","Una furgoneta volcó en la carretera debido a la velocidad. Afortunadamente no hay heridos graves, pero el tráfico está detenido."
"Accidente en el camino","Un vehículo sufrió una colisión por alcance en la carretera principal. El tráfico está congestionado mientras se resuelve el incidente."
"Accidente en el camino","Una caravana perdió el control en una curva cerrada, causando una interrupción del tráfico en ambas direcciones."
"Accidente en el camino","Un camión de carga sufrió un accidente y dejó esparcida parte de su mercancía en la vía. Las autoridades están trabajando para despejar el paso."
"Accidente en el camino","Un coche se estrelló contra un poste de luz, interrumpiendo el suministro eléctrico en la zona. Se necesita asistencia urgente para reparar el daño."
"Accidente en el camino","Un camión se desvió de su carril y colisionó con un muro. El tráfico está detenido mientras se limpia el área y se retira el vehículo."
"Accidente en el camino","Un coche se detuvo en medio de la autopista debido a un mal funcionamiento. Esto está causando una gran congestión en el tráfico."
"Accidente en el camino","Un autobús escolar se quedó atascado debido a una avería en pleno trayecto. Los estudiantes ya están siendo trasladados por otros medios."
"Accidente en el camino","Un accidente con varios vehículos involucrados ha generado un embotellamiento masivo. Se recomienda tomar rutas alternas para evitar el retraso."
"Tramo colapsado/cerrado/mal señalizado","Una avalancha de barro ha afectado la carretera principal, bloqueando el paso en ambos sentidos. Se estima que se tardará varias horas en despejarla."
"Tramo colapsado/cerrado/mal señalizado","Una roca grande cayó sobre la vía causando un obstáculo en el camino. Se están realizando trabajos para despejar la carretera."
"Tramo colapsado/cerrado/mal señalizado","Un deslizamiento de tierra ha cubierto parcialmente la carretera, haciendo que el paso sea más lento. Se debe transitar con precaución."
"Tramo colapsado/cerrado/mal señalizado","Un pequeño desprendimiento de tierra ha caído en el sendero, limitando la visibilidad. Las autoridades están evaluando la situación."
"Tramo colapsado/cerrado/mal señalizado","Un alud ha dejado bloqueada una de las principales carreteras de montaña. Se están organizando equipos para despejar la zona."
"Tramo colapsado/cerrado/mal señalizado","Una acumulación de rocas en la carretera está obstruyendo el paso. El tráfico es desviado mientras se realizan labores de limpieza."
"Tramo colapsado/cerrado/mal señalizado","Un deslizamiento ha dejado una capa de tierra sobre la vía, causando dificultad para avanzar. Los vehículos deben reducir la velocidad."
"Tramo colapsado/cerrado/mal señalizado","Un alud ha dañado un puente, haciendo imposible el paso por la zona. El servicio de emergencias ya está trabajando en la zona afectada."
"Tramo colapsado/cerrado/mal señalizado","Un desprendimiento de tierra ha provocado daños en la carretera y está bloqueando el paso. Se está organizando un desvío para los conductores."
"Problemas mobiliario","El banco en el parque ha sido dañado por el clima y ya no es seguro. Se está evaluando su reparación o reemplazo."
"Problemas mobiliario","La farola en la entrada principal del barrio está rota y no enciende, lo que genera poca visibilidad por la noche."
"Problemas mobiliario","El cartel de información turística está cubierto por grafitis y resulta ilegible. Se requiere una renovación urgente."
"Problemas mobiliario","El banco de la plaza está tan deteriorado que ya no se puede utilizar. Se necesita restauración o sustitución inmediata."
"Problemas mobiliario","La papelera en el parque está rota y está desbordada de basura. Se debe solicitar su reparación o reemplazo."
"Problemas mobiliario","La fuente en el parque está obstruida, lo que impide el flujo de agua. Se requiere intervención para restaurarla."
"Problemas mobiliario","El kiosco de información está desmantelado y fuera de servicio. Los turistas no pueden acceder a la información que necesitan."
"Problemas mobiliario","El asiento de la parada de autobús está roto y no es seguro para los pasajeros. Se debe reparar o reemplazar lo antes posible."
"Problemas mobiliario","El cartel indicativo de la estación de tren está tan dañado que los viajeros no pueden leer las rutas correctamente."
"Tramo colapsado/cerrado/mal señalizado","La carretera principal ha quedado completamente cerrada debido a una grieta profunda. Los conductores deben buscar rutas alternativas."
"Tramo colapsado/cerrado/mal señalizado","Un puente que conecta dos pueblos ha quedado cerrado debido a un daño estructural. Se recomienda tomar la ruta alterna."
"Tramo colapsado/cerrado/mal señalizado","Una parte de la carretera ha colapsado debido a las lluvias torrenciales. Las autoridades están trabajando en su reparación."
"Tramo colapsado/cerrado/mal señalizado","El paso de una calle se ha colapsado tras las fuertes lluvias, creando un riesgo de inundación. La circulación está bloqueada."
"Tramo colapsado/cerrado/mal señalizado","La carretera hacia la zona turística está cerrada por un deslizamiento de tierra. Se está trabajando en la limpieza de la vía."
"Tramo colapsado/cerrado/mal señalizado","El asfaltado de la vía se ha desmoronado por las lluvias, haciendo imposible el tránsito por la zona afectada."
"Tramo colapsado/cerrado/mal señalizado","Una de las principales rutas ha sido cerrada debido a un derrumbe masivo de tierra. Se están tomando medidas para despejarla."
"Tramo colapsado/cerrado/mal señalizado","Un tramo de la carretera está cerrado por un colapso de parte de la infraestructura. Los vehículos están siendo desviados por rutas alternas."
"Tramo colapsado/cerrado/mal señalizado","Una enorme grieta ha surgido en la carretera tras el paso de una tormenta. La vía está cerrada hasta nuevo aviso."
"Problemas mobiliario","La fuente del parque se ha quedado sin agua debido a un problema en el suministro. Se espera que se solucione en los próximos días."
"Problemas mobiliario","La fuente de la plaza principal ha sido vaciada por mantenimiento. Aún no se ha reabastecido con agua."
"Problemas mobiliario","La fuente en el centro de la ciudad está seca por completo. La falta de agua está causando molestias a los visitantes."
"Problemas mobiliario","La fuente en el parque temático ha estado vacía durante semanas. Los turistas ya están preguntando cuándo volverá a estar operativa."
"Problemas mobiliario","La fuente del barrio ha dejado de funcionar debido a un fallo en el sistema de bombeo. Se está trabajando para resolverlo lo antes posible."
"Problemas mobiliario","Una de las fuentes en el jardín botánico ha sido cerrada por falta de agua. Los visitantes se ven afectados por la falta de esta atracción."
"Problemas mobiliario","El estanque de la fuente en la plaza está vacío, lo que afecta la estética del lugar. Se espera que se reponga el agua pronto."
"Problemas mobiliario","La fuente de la entrada del parque ha estado sin agua durante días. Los visitantes deben ser informados sobre la situación."
"Problemas mobiliario","Una de las fuentes más populares de la ciudad está seca. Los vecinos están solicitando que se reponga el agua cuanto antes."
"Crecida de río","El nivel del río ha subido rápidamente debido a las fuertes lluvias en las montañas. Se ha emitido una alerta roja para las áreas cercanas al cauce."
